video,score,zscore,offset,content
0,1,-1.5513338539941097,0,0
cricket_offset_0.8_cut_3_45,59,0.500703192340191,0.8,cricket
tennis_offset_-0.2_cut_24,36,-0.3130356363785834,-0.2,tennis
cricket_offset_-0.2_cut_3_45,10,-1.2329143123215458,-0.2,cricket
tennis_cut_24,9,-1.268294261396275,0,tennis
newsreader_cut_5,12,-1.1621544141720872,0,newsreader
nfl_offset_1.5_cut_7_00,69,0.8545026830874842,1.5,nfl
soccer_offset_2.5_cut_2_25,85,1.4205818682831535,2.5,soccer
tennis_offset_0.6_cut_24,71,0.9252625812369428,0.6,tennis
nfl_offset_-0.8_cut_7_00,51,0.21766359974235644,-0.8,nfl
tennis_offset_0.2_cut_24,13,-1.126774465097358,0.2,tennis
nfl_cut_7_00,3,-1.4805739558446511,0,nfl
soccer_offset_-0.8_cut_2_25,52,0.25304354881708574,-0.8,soccer
tennis_offset_-1.5_cut_24,49,0.14690370159289778,-1.5,tennis
soccer_offset_-0.2_cut_2_25,10,-1.2329143123215458,-0.2,soccer
nfl_offset_-1.5_cut_7_00,86,1.4559618173578828,-1.5,nfl
newsreader_offset_0.05_cut_5,24,-0.7375950252753353,0.05,newsreader
nfl_offset_-0.6_cut_7_00,61,0.5714630904896496,-0.6,nfl
newsreader_offset_0.1_cut_5,47,0.07614380344343914,0.1,newsreader
cricket_offset_0.2_cut_3_45,40,-0.1715158400796661,0.2,cricket
soccer_offset_-2.5_cut_2_25,83,1.3498219701336946,-2.5,soccer
cricket_offset_1_cut_3_45,90,1.5974816136568,1,cricket
soccer_offset_0.8_cut_2_25,75,1.0667823775358602,0.8,soccer
newsreader_offset_-0.2_cut_5,9,-1.268294261396275,-0.2,newsreader
nfl_offset_-0.2_cut_7_00,14,-1.0913945160226286,-0.2,nfl
cricket_offset_-1_cut_3_45,69,0.8545026830874842,-1,cricket
newsreader_offset_-0.05_cut_5,17,-0.9852546687984405,-0.05,newsreader
soccer_offset_0.2_cut_2_25,40,-0.1715158400796661,0.2,soccer
tennis_offset_-0.6_cut_24,49,0.14690370159289778,-0.6,tennis
cricket_offset_-0.4_cut_3_45,31,-0.48993538175223,-0.4,cricket
newsreader_offset_-0.4_cut_5,66,0.7483628358632962,-0.4,newsreader
tennis_offset_1.5_cut_24,72,0.9606425303116722,1.5,tennis
newsreader_offset_-0.1_cut_5,15,-1.056014566947899,-0.1,newsreader
tennis_offset_1_cut_24,75,1.0667823775358602,1,tennis
nfl_offset_0.2_cut_7_00,32,-0.4545554326775007,0.2,nfl
tennis_offset_-1_cut_24,17,-0.9852546687984405,-1,tennis
soccer_offset_0.4_cut_2_25,43,-0.06537599285547815,0.4,soccer
nfl_offset_0.6_cut_7_00,56,0.39456334511600305,0.6,nfl
soccer_cut_2_25,3,-1.4805739558446511,0,soccer
cricket_offset_0.4_cut_3_45,62,0.606843039564379,0.4,cricket
nfl_offset_0.8_cut_7_00,73,0.9960224793864015,0.8,nfl
soccer_offset_-0.4_cut_2_25,29,-0.5606952799016887,-0.4,soccer
cricket_offset_-0.8_cut_3_45,78,1.1729222247600481,-0.8,cricket
newsreader_offset_0.2_cut_5,76,1.1021623266105895,0.2,newsreader
cricket_cut_3_45,10,-1.2329143123215458,0,cricket
newsreader_offset_0.4_cut_5,91,1.6328615627315293,0.4,newsreader
